individual,group,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12
Indonesia,Indomalayan_tropics,0.857380518,1.879254562,1.483098973,2.058107559,1.24994883,2.244267026,1.495614803,2.363884155,1.265309354,2.275201319,1.355013682,2.26235557
Saint Vincent and the Grenadines,Neotropics,0,0,0,0.001698073,0,0,0.000340146,0.00101964,0,0,0,0.024155977
Grenada,Neotropics,0,0,0.002375448,0.004737973,0,0,0.027362803,0.009424815,0,0,0,0
Saint Lucia,Neotropics,0,0,0,0.047344112,0,0,0.009757662,0.023189294,0,0,0,0.052802096
Dominica,Neotropics,0,0,0.004401256,0.010754674,0,0,0.085023631,0.035277776,0,0,0.001358989,0.002713739
Belize,Neotropics,0,0.006752816,0.021573358,0.046427742,0.001698073,0.010090254,0.039337252,0.05219903,0.113187192,0.079108209,0.154429969,0.111084433
French Guiana,Neotropics,0,0.17264217,0,0.085582825,0,0.193185425,0,0.045815752,0,0.100685107,0,0.017016486
Trinidad and Tobago,Neotropics,0,0.001358989,0.031812946,0.010422591,0.001358989,0,0.075405489,0.00809087,0.026403239,0.039958432,0.222489674,0.394601787
Suriname,Neotropics,0,0.003727036,0,0,0.08221681,0.220036358,0.001358989,0.013402239,0.015048808,0.553804859,0,0.201608998
Jamaica,Neotropics,0,0,0.291693863,0.131164591,0.003051768,0,0.559846937,0.212383532,0,0.01141808,0.39624462,0.512234245
El Salvador,Neotropics,0.113187192,0.067612851,0.58133843,0.687861884,0.076548154,0.043666972,0.234948961,0.034963931,0.000680026,0.002036893,0.043974592,0.012411293
Paraguay,Neotropics,0.255833571,0,0.006752816,0,0.69629735,0,0.003389533,0,0.846615642,0,0,0
Argentina,Neotropics,0.061158258,0,0.063810379,0,0.728490409,0,0.490790065,0,0.618924043,0,0.5397966,0
Haiti,Neotropics,0.251469314,0.035277776,1.04096319,0.516398885,0.102838699,0.000340146,0.486926001,0.050081678,0.069066521,0,0.139635069,0
Guyana,Neotropics,0.001698073,0.375105109,0,0.023189294,0.891362976,0.806076087,0.054005722,0.123294826,0.511815576,0.883736454,0.001358989,0.089477151
Dominican Republic,Neotropics,0.044281995,0.000340146,0.852915599,0.234948961,0.060270607,0,1.070758575,0.000340146,0.091686902,0,1.144649186,0.405438419
Panama,Neotropics,0.000680026,0.384190839,0.001698073,0.617120045,0.022866587,0.47830207,0.023511761,1.25495307,0.004401256,0.3893581,0.00101964,1.141958122
Costa Rica,Neotropics,0.022220454,0.058787144,0.120467692,0.637113144,0.048867112,0.190779704,0.352128124,1.169138941,0.013072175,0.246675279,0.323850139,1.260068607
Honduras,Neotropics,0.314219749,0.073398563,1.167244603,0.909548966,0.161055895,0.067030018,1.048179698,0.480108205,0.133422903,0.223304375,0.895191574,0.451833745
Guatemala,Neotropics,0.28095821,0.174467622,0.539992923,1.392131489,0.110820871,0.068776176,0.861566051,1.082509863,0.121755035,0.048258553,0.82030574,1.018010394
Cuba,Neotropics,0.064690832,0,1.379152001,0.036530892,0.139388281,0,1.609246279,0.094980588,0.039337252,0,1.108001592,0.11736241
Nicaragua,Neotropics,0.356941487,0.234750815,1.227605235,1.648233702,0.120725466,0.184372721,0.698959737,0.799160926,0.146731591,0.15964454,0.316524326,0.591131403
Ecuador,Neotropics,0.362736549,0.549313555,1.128094855,1.038011497,0.576763833,0.576402995,1.154272812,1.095647547,0.53156993,0.195577894,1.109643711,0.987833261
Peru,Neotropics,0.92732586,0.869726159,1.080507305,0.833035588,1.301871939,1.099588346,1.343595955,0.900786406,1.160172231,0.962804369,1.329549982,1.170381935
Bolivia,Neotropics,1.857854757,0.764296536,0.84321141,0.824964175,1.535934712,0.810836229,0.93934652,0.573505447,0.964284674,0.647043344,0.328346833,0.221877643
Venezuela,Neotropics,0.695749197,1.106166743,1.01394335,0.530868936,0.971393429,0.981346022,1.056265842,0.342338336,1.33622201,1.52182973,1.683471966,0.808832752
México,Neotropics,1.517086476,0.53901042,1.978810975,1.66095693,1.069948285,0.323688679,1.745085139,1.136301747,1.119523205,0.194709429,1.695484537,1.069136481
Colombia,Neotropics,0.304370954,1.149234338,1.109828722,1.533640362,0.948292349,1.569098787,1.505065759,1.867679282,0.699843584,1.697435371,1.592989169,1.901254006
Brazil,Neotropics,2.327471249,2.161512465,1.383887423,1.22617237,2.272967408,2.250223196,1.33411449,1.442972317,2.287205781,2.333509302,1.601913468,1.740124201
